ds_h_dt,di_h_dt,dr_h_dt
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.1738636362945699e-07,-1.1363636363636344e-07,-3.7499999980261656e-09
-7.450757577576185e-08,7.575757575757567e-08,-1.249999992403161e-09
-3.341396103695438e-07,3.2467532467532417e-07,9.464285716243026e-09
-2.3305735924461501e-07,2.164502164502161e-07,1.6607142855340484e-08
-1.2840367968891544e-07,1.0822510822510808e-07,2.0178571424889213e-08
9.720779214905663e-08,-1.1363636363636347e-07,1.6428571426863048e-08
1.3449675329013644e-07,-1.4610389610389586e-07,1.1607142864911156e-08
-2.0166125541676294e-07,1.839826839826837e-07,1.7678571433143997e-08
-2.412716451072328e-07,2.164502164502161e-07,2.482142856530256e-08
-1.6456709955869897e-07,1.352813852813851e-07,2.9285714277238476e-08
-3.367261903752805e-07,2.976190476190472e-07,3.910714285737527e-08
-2.62700216469014e-07,2.164502164502161e-07,4.6250000003411624e-08
6.554653675383548e-08,-1.0822510822510812e-07,4.2678571426924e-08
4.0450757576859786e-07,-4.329004329004322e-07,2.8392857141790184e-08
3.8525432899394484e-07,-4.004329004328999e-07,1.5178571427520993e-08
5.748917752956829e-08,-7.034632034632028e-08,1.285714285731432e-08
9.334956707629517e-08,-1.0281385281385267e-07,9.464285716243026e-09
3.259253246734595e-07,-3.2467532467532417e-07,-1.250000006280949e-09
7.950757580088563e-08,-7.575757575757567e-08,-3.7500000049650595e-09
-1.136363636522475e-07,1.1363636363636344e-07,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.1738636362945699e-07,-1.1363636363636344e-07,-3.7499999980261656e-09
4.2878787909206295e-08,-3.7878787878787795e-08,-4.999999997368221e-09
-2.912608225158486e-07,2.867965367965364e-07,4.464285711935911e-09
-4.06931818242029e-07,3.896103896103891e-07,1.732142856925023e-08
-3.7507034633676994e-07,3.463203463203459e-07,2.875000000568395e-08
-1.2305627705155864e-06,1.1634199134199116e-06,6.714285714914947e-08
-1.4645995670692358e-06,1.3528138528138511e-06,1.1178571428238637e-07
-2.51531385331294e-07,1.3528138528138556e-07,1.1625000000126119e-07
-4.404599567298106e-07,3.1385281385281385e-07,1.266071428529525e-07
-2.513463203457356e-06,2.3106060606060583e-06,2.0285714284751238e-07
-7.67645562771424e-06,7.234848484848474e-06,4.4160714286756164e-07
-1.0620681818118705e-05,9.853896103896089e-06,7.66785714284568e-07
-8.654031385280092e-06,7.635281385281372e-06,1.0187499999980698e-06
-8.900405844225467e-06,7.629870129870118e-06,1.270535714290033e-06
-6.385227272698302e-06,4.951298701298695e-06,1.4339285714232153e-06
9.529274891950656e-07,-2.310606060606056e-06,1.3576785714286554e-06
4.774361471837629e-06,-5.93614718614718e-06,1.1617857142848242e-06
5.573955627724558e-06,-6.520562770562761e-06,9.4660714286543e-07
2.580573593036206e-06,-3.4145021645021566e-06,8.339285714337175e-07
1.8827272726951168e-06,-2.629870129870125e-06,7.471428571381722e-07
2.930963203529036e-06,-3.5606060606060557e-06,6.296428571445079e-07
6.349567099883657e-08,-6.709956709956709e-07,6.07499999992489e-07
-2.312397186177151e-06,1.6504329004328989e-06,6.619642857058627e-07
-4.032629870087678e-06,3.262987012987009e-06,7.696428571471459e-07
-3.0670616882888524e-06,2.2240259740259707e-06,8.430357142930056e-07
-4.252830086648451e-06,3.3008658008657944e-06,9.51964285719753e-07
-7.000156926395551e-06,5.854978354978346e-06,1.1451785714294838e-06
-2.5817640691983e-06,1.3906926406926397e-06,1.1910714285690016e-06
8.899891779101665e-08,-1.2391774891774889e-06,1.150178571426852e-06
2.673262986974123e-06,-3.7012987012986976e-06,1.0280357142788963e-06
4.567380952336109e-06,-5.416666666666655e-06,8.49285714282777e-07
1.0121266234008883e-06,-1.801948051948048e-06,7.89821428578974e-07
2.776488095213025e-06,-3.4523809523809502e-06,6.758928571409806e-07
1.4929599567170548e-06,-2.099567099567096e-06,6.066071428501019e-07
-1.9258062770588502e-06,1.2770562770562755e-06,6.487499999985324e-07
6.313203462782191e-07,-1.2391774891774889e-06,6.078571428563828e-07
8.063690475901275e-07,-1.3690476190476176e-06,5.626785714307747e-07
1.5502759740382288e-06,-2.045454545454541e-06,4.951785714385482e-07
1.96993506496046e-06,-2.3863636363636325e-06,4.164285714314264e-07
-1.819475108189028e-06,1.3582251082251058e-06,4.612500000000797e-07
-9.97873376595848e-07,5.194805194805184e-07,4.783928571339136e-07
1.120297618950605e-06,-1.547619047619045e-06,4.27321428575489e-07
-2.657662337646194e-06,2.1590909090909063e-06,4.985714285796194e-07
-3.4108712120284324e-06,2.8192640692640653e-06,5.916071428510583e-07
-3.4088798701592538e-06,2.7272727272727243e-06,6.816071428591974e-07
-6.450308441596775e-06,5.584415584415579e-06,8.658928571450564e-07
-8.38979978357024e-06,7.283549783549772e-06,1.106249999993647e-06
-7.266239177461387e-06,5.963203463203454e-06,1.3030357142798654e-06
-5.663100649311303e-06,4.220779220779217e-06,1.4423214285755326e-06
-6.249572510830248e-06,4.653679653679644e-06,1.5958928571424558e-06
-7.951525974048135e-06,6.1525974025973936e-06,1.7989285714323231e-06
-7.785633116874635e-06,5.79545454545454e-06,1.9901785714288023e-06
-4.701244588733999e-06,2.6244588744588718e-06,2.0767857142819923e-06
-4.966726190491766e-06,2.7976190476190408e-06,2.169107142860338e-06
6.682359310339336e-08,-2.164502164502162e-06,2.09767857142773e-06
4.498317099532745e-06,-6.385281385281375e-06,1.886964285706394e-06
-1.8142965368395103e-06,-7.03463203463199e-08,1.8846428571431264e-06
-6.155270562691051e-06,4.134199134199125e-06,2.0210714285762155e-06
-4.463825757583528e-06,2.364718614718607e-06,2.0991071428555497e-06
-1.869924242448029e-06,-2.218614718614673e-07,2.091785714281036e-06
4.180000000020279e-06,-6.071428571428559e-06,1.891428571432208e-06
8.159080086556081e-06,-9.729437229437215e-06,1.5703571428632437e-06
1.3410378787881427e-05,-1.4502164502164482e-05,1.091785714286975e-06
1.3827462121196454e-05,-1.444264069264067e-05,6.151785714308966e-07
6.4391829004417644e-06,-6.82900432900432e-06,3.898214285744106e-07
3.4112608224834418e-06,-3.679653679653676e-06,2.6839285714730376e-07
2.3923647185508656e-06,-2.575757575757572e-06,1.833928571365329e-07
5.991829005180804e-07,-7.575757575757565e-07,1.5839285713581397e-07
-5.496807359284261e-07,3.787878787878783e-07,1.708928571431123e-07
-1.0373160173604568e-06,8.387445887445869e-07,1.9857142857099277e-07
-1.5513095237840169e-06,1.3095238095238077e-06,2.41785714290288e-07
-9.349242424128156e-07,6.709956709956709e-07,2.6392857143536785e-07
-5.60189393927768e-07,2.867965367965359e-07,2.733928571377331e-07
7.663149350634058e-07,-1.0064935064935055e-06,2.401785714201133e-07
1.6603625541122824e-06,-1.8398268398268365e-06,1.7946428571696818e-07
1.4304058441605427e-06,-1.5584415584415563e-06,1.2803571428077198e-07
1.6383495671234982e-06,-1.7099567099567075e-06,7.16071428472076e-08
1.3929274891855137e-06,-1.4177489177489155e-06,2.4821428572241452e-08
4.838528138151332e-07,-4.924242424242417e-07,8.571428580794738e-09
-5.61964285716865e-07,5.357142857142849e-07,2.625000001393873e-08
-1.01005952379829e-06,9.523809523809508e-07,5.767857143290645e-08
-4.2101731606569714e-07,3.517316017316011e-07,6.928571427700092e-08
-5.052922078530031e-07,4.220779220779215e-07,8.321428571211875e-08
-5.862987012550391e-07,4.870129870129867e-07,9.928571428896583e-08
-1.8209523808820904e-06,1.6666666666666643e-06,1.5428571427389406e-07
-2.6864772727508424e-06,2.4512987012986977e-06,2.35178571422745e-07
-1.5208387446064009e-06,1.244588744588743e-06,2.7625000000724986e-07
-1.2600595237777237e-06,9.523809523809512e-07,3.0767857144009536e-07
-8.666612553720476e-07,5.411255411255404e-07,3.25535714287839e-07
5.297077921850857e-07,-8.279220779220772e-07,2.9821428570303565e-07
1.4905303030166015e-06,-1.7316017316017291e-06,2.410714285625004e-07
2.0675270562819925e-06,-2.2348484848484817e-06,1.6732142856662469e-07
1.3978300865691295e-06,-1.515151515151513e-06,1.1732142858600358e-07
1.4701893939483843e-06,-1.5367965367965343e-06,6.660714287065607e-08
1.7109577922225228e-06,-1.7207792207792183e-06,9.821428566259003e-09
3.870562770846853e-07,-3.841991341991336e-07,-2.857142869516771e-09
-8.523863636589191e-07,8.279220779220766e-07,2.4464285715286586e-08
-1.293354978337824e-06,1.2283549783549764e-06,6.500000000742023e-08
-8.531655844579156e-07,7.629870129870119e-07,9.01785714296777e-08
3.2797618954028e-08,-1.190476190476188e-07,8.625000000317408e-08
4.3919372300083037e-07,-5.086580086580079e-07,6.946428571241725e-08
4.6156926414298027e-07,-5.140692640692631e-07,5.250000000012189e-08
-2.2578463204636637e-07,1.6774891774891765e-07,5.8035714289861324e-08
-8.462012987542344e-07,7.62987012987012e-07,8.321428571211875e-08
-1.866369047642813e-06,1.7261904761904734e-06,1.4017857142417658e-07
-2.1245670995262422e-06,1.920995670995668e-06,2.0357142856836097e-07
-6.78706709944521e-07,4.5995670995670966e-07,2.1875000000282085e-07
4.743885281266458e-07,-6.709956709956701e-07,1.9660714286467987e-07
1.8909090909735585e-07,-3.733766233766223e-07,1.8428571428585894e-07
-1.4308170995791514e-06,1.206709956709955e-06,2.241071428432662e-07
-1.3979707792488585e-06,1.1363636363636345e-06,2.616071428512834e-07
-7.758712121663791e-07,4.978354978354964e-07,2.780357142989631e-07
-8.537878787295838e-07,5.573593073593061e-07,2.964285714321391e-07
-1.2802380952026129e-06,9.523809523809512e-07,3.278571428511068e-07
-1.7868019480116182e-06,1.4123376623376617e-06,3.744642857114733e-07
-9.613961038379415e-07,5.681818181818171e-07,3.932142857154819e-07
-4.938311689017816e-07,9.740259740259743e-08,3.964285714350146e-07
-1.05043831172269e-06,6.331168831168824e-07,4.173214285668747e-07
1.1534199134133338e-06,-1.5205627705627693e-06,3.671428571438984e-07
2.5116179653283943e-06,-2.7867965367965323e-06,2.7517857144332414e-07
9.042748917442722e-07,-1.1417748917748898e-06,2.3749999999989058e-07
-3.772456709794092e-07,1.352813852813851e-07,2.419642857048876e-07
-8.17716450218775e-07,5.573593073593061e-07,2.6035714284500244e-07
-3.609740259480354e-07,9.740259740259743e-08,2.635714285714741e-07
9.326515152396908e-07,-1.1580086580086565e-06,2.253571428634249e-07
3.951136363644636e-07,-6.006493506493502e-07,2.0553571428161282e-07
-3.117424243193057e-07,1.0281385281385292e-07,2.0892857142962298e-07
-9.579653680313882e-07,7.251082251082243e-07,2.3285714285947726e-07
-3.268133116796079e-06,2.938311688311683e-06,3.298214285712975e-07
-2.856423160113586e-06,2.445887445887442e-06,4.105357142847321e-07
-2.081893939409607e-06,1.6179653679653658e-06,4.639285714203023e-07
-2.3588798701013047e-06,1.834415584415581e-06,5.244642857227255e-07
-5.971320346520592e-07,7.034632034632073e-08,5.267857142929322e-07
-2.3052489178665425e-07,-2.8679653679653505e-07,5.173214285558725e-07
2.484848484751723e-07,-7.413419913419899e-07,4.928571428614026e-07
-8.282467532372273e-07,3.246753246753236e-07,5.035714285769877e-07
-1.878668831167829e-06,1.3311688311688282e-06,5.474999999963148e-07
-1.0729437229795025e-06,5.086580086580074e-07,5.642857142870716e-07
-8.046482684043177e-07,2.3268398268398337e-07,5.719642857116014e-07
-9.353030303027588e-07,3.517316017316028e-07,5.835714285695737e-07
-1.7462554112723794e-06,1.1255411255411232e-06,6.20714285720636e-07
-8.443073593045192e-07,2.164502164502135e-07,6.278571428597335e-07
4.565692640623453e-07,-1.049783549783548e-06,5.932142857073552e-07
-6.043939393962638e-07,1.0822510822511012e-08,5.935714285781879e-07
-1.631547618674567e-07,-4.166666666666672e-07,5.798214285715475e-07
9.965097402253598e-07,-1.5259740259740222e-06,5.29464285706216e-07
8.456331168638087e-07,-1.3311688311688274e-06,4.855357142868888e-07
2.411417749925704e-07,-7.034632034632022e-07,4.6232142857094427e-07
-1.2896158008146583e-06,8.008658008657988e-07,4.887500000064215e-07
-1.1148106060510088e-06,6.060606060606065e-07,5.087500000028333e-07
-4.052700216417016e-06,3.4307359307359257e-06,6.219642857130392e-07
-5.300649350725717e-06,4.529220779220772e-06,7.714285714319202e-07
-3.5942911256192644e-06,2.73268398268398e-06,8.61607142854659e-07
-6.283739177492809e-06,5.248917748917739e-06,1.034821428567978e-06
-5.148933982623838e-06,3.982683982683978e-06,1.1662499999967602e-06
3.150541126317741e-07,-1.433982683982677e-06,1.1189285714294228e-06
-2.0412500000288603e-06,8.928571428571399e-07,1.1483928571490163e-06
-9.784675324753245e-06,8.360389610389593e-06,1.4242857142784948e-06
-6.203587662401144e-06,4.626623376623371e-06,1.5769642857099695e-06
-2.879393939392294e-06,1.2608225108225145e-06,1.618571428572968e-06
-3.133409090905204e-05,2.876623376623373e-05,2.5678571428516817e-06
-5.289306818179185e-05,4.87175324675324e-05,4.175535714294465e-06
-3.227000541122793e-05,2.7196969696969652e-05,5.0730357142869664e-06
-4.256920995648894e-06,-7.900432900433005e-07,5.046964285715383e-06
1.1280919913370102e-05,-1.580627705627704e-05,4.525357142862174e-06
2.567647727269584e-05,-2.923701298701294e-05,3.560535714278168e-06
4.660257034633242e-05,-4.856060606060598e-05,1.958035714288986e-06
4.473937770560488e-05,-4.5205627705627634e-05,4.662500000043868e-07
8.142083333328998e-06,-8.333333333333325e-06,1.9124999999647899e-07
-1.1124951298679964e-05,1.0584415584415563e-05,5.405357142787559e-07
-3.8441233766173255e-06,3.198051948051943e-06,6.460714285713709e-07
-4.895562770723672e-07,-1.5151515151515078e-07,6.410714285740027e-07
-4.90146103870881e-07,-1.461038961038953e-07,6.362499999912341e-07
-1.133744588766028e-06,4.816017316017316e-07,6.521428571396037e-07
-1.781287878810378e-06,1.0930735930735902e-06,6.882142857267404e-07
-7.049837661976532e-07,1.6233766233764824e-08,6.887500000052338e-07
-3.589502164391689e-07,-3.192640692640715e-07,6.782142857111872e-07
-3.981801948105268e-06,3.198051948051943e-06,7.837499999968633e-07
-4.89786255419844e-06,3.98268398268398e-06,9.151785714256456e-07
-2.6592045454520985e-06,1.6883116883116855e-06,9.70892857152239e-07
1.0190854978775477e-06,-1.926406926406923e-06,9.073214285795772e-07
1.6360497835932186e-06,-2.462121212121209e-06,8.260714285668325e-07
-2.950378787947017e-07,-5.140692640692646e-07,8.091071428545371e-07
2.332375541092002e-06,-3.041125541125535e-06,7.087499999947067e-07
3.0196645022240176e-06,-3.609307359307355e-06,5.896428571378065e-07
1.1040746753510078e-06,-1.639610389610388e-06,5.355357142883266e-07
-1.330681818068058e-07,-3.89610389610388e-07,5.226785714240734e-07
-1.0903138525364399e-07,-4.00432900432899e-07,5.094642857167431e-07
2.520221861423977e-06,-2.9329004329004267e-06,4.126785714264614e-07
2.365465367970554e-06,-2.689393939393935e-06,3.239285714246032e-07
-1.419534631952324e-06,1.0606060606060572e-06,3.589285714339363e-07
-1.0464772727813989e-06,6.655844155844145e-07,3.808928571435999e-07
1.9485930730089865e-07,-5.57359307359307e-07,3.62500000003485e-07
-1.836255411058474e-07,-1.731601731601728e-07,3.567857142922071e-07
-1.5697781385326517e-06,1.1742424242424228e-06,3.955357142856886e-07
-1.7706331168487743e-06,1.3311688311688282e-06,4.394642857119546e-07
-6.406980519457761e-07,1.9480519480519486e-07,4.458928571440812e-07
1.5221861476844015e-07,-5.790043290043281e-07,4.2678571428311773e-07
8.756439394685955e-07,-1.2608225108225092e-06,3.851785714270584e-07
2.1581926406000207e-06,-2.462121212121208e-06,3.039285714281914e-07
3.424485930714205e-06,-3.609307359307354e-06,1.8482142856435238e-07
3.174664502225699e-06,-3.2521645021644978e-06,7.749999999390189e-08
2.4938203462832043e-06,-2.4891774891774854e-06,-4.642857140413348e-09
6.362932900016993e-07,-6.114718614718605e-07,-2.482142856530256e-08
-1.998695887461821e-06,1.958874458874456e-06,3.982142857822391e-08
-2.851504328993393e-06,2.7218614718614675e-06,1.296428571440078e-07
-2.1252110389835543e-06,1.9318181818181797e-06,1.933928571382082e-07
-1.780903679693413e-06,1.536796536796535e-06,2.441071428535557e-07
-8.589880952092344e-07,5.952380952380947e-07,2.637499999999515e-07
-2.4605519480247477e-06,2.126623376623374e-06,3.339285714401563e-07
-3.615156926428664e-06,3.176406926406921e-06,4.387500000049838e-07
-2.0765692640978277e-06,1.585497835497831e-06,4.910714285627504e-07
-3.6213744588620153e-06,3.030303030303025e-06,5.91071428565626e-07
-3.0729545453800355e-06,2.402597402597399e-06,6.703571428651189e-07
3.525811687610237e-07,-9.90259740259739e-07,6.376785714259925e-07
3.498793289924418e-06,-4.004329004328997e-06,5.055357142763617e-07
1.786293290062524e-06,-2.2186147186147126e-06,4.323214285797961e-07
-7.55376082245407e-06,6.893939393939383e-06,6.598214285710724e-07
-8.060752164529283e-06,7.164502164502154e-06,8.962499999931595e-07
-4.350762986993217e-06,3.344155844155842e-06,1.006607142861604e-06
-1.2739653679594287e-05,1.135822510822509e-05,1.3814285714230934e-06
-1.5126812770605014e-05,1.3306277056277034e-05,1.820535714285032e-06
-8.114680735915591e-06,6.093073593073581e-06,2.0216071428685867e-06
-3.9221482683871045e-06,1.8398268398268384e-06,2.082321428564793e-06
-6.74423701296778e-06,4.512987012987001e-06,2.2312499999982416e-06
-6.78136904752602e-06,4.404761904761897e-06,2.3766071428621416e-06
5.36530303024696e-06,-7.494588744588725e-06,2.129285714289053e-06
1.2583138528032832e-05,-1.424242424242422e-05,1.6592857142866402e-06
6.02672619048894e-06,-7.44047619047618e-06,1.413749999998326e-06
3.4158603896550237e-06,-4.675324675324669e-06,1.2594642857105542e-06
5.9849512987208975e-06,-7.012987012987e-06,1.0280357142858354e-06
3.052537878800443e-06,-3.9502164502164415e-06,8.976785714348567e-07
-6.740854978648514e-07,-2.1645021645021855e-07,8.905357142888204e-07
-1.7532467699865604e-09,-8.603896103896102e-07,8.621428571400913e-07
3.69356601737092e-06,-4.410173160173153e-06,7.166071428477139e-07
4.241569264040734e-06,-4.7997835497835424e-06,5.582142857118999e-07
9.007305194486116e-07,-1.41233766233766e-06,5.116071428584723e-07
-1.064999999966787e-06,5.357142857142849e-07,5.292857142916163e-07
-5.516450216069835e-07,2.164502164502033e-08,5.299999999985872e-07
3.69962121160583e-07,-8.712121212121212e-07,5.012499999929032e-07
2.399870129843329e-06,-2.808441558441553e-06,4.085714285784192e-07
3.023582251127088e-06,-3.322510822510817e-06,2.989285714308232e-07
3.149994588780292e-06,-3.338744588744584e-06,1.8874999999085598e-07
2.3434415584167034e-06,-2.4512987012986973e-06,1.0785714285588277e-07
5.126136363164946e-07,-6.006493506493497e-07,8.803571428794844e-08
-6.581980520059538e-07,5.51948051948051e-07,1.0624999999958584e-07
-1.3863203463526652e-06,1.2391774891774872e-06,1.4714285714867437e-07
-1.2371590908388796e-06,1.0551948051948034e-06,1.819642857225912e-07
-2.0991341986853485e-07,2.7056277056277107e-08,1.8285714285803945e-07
-1.9403679657470366e-07,1.0822510822511012e-08,1.8321428570805545e-07
2.248430736040419e-07,-3.950216450216443e-07,1.7017857142920256e-07
-6.397186141926525e-08,-1.028138528138525e-07,1.667857142811924e-07
-1.4803950216801809e-06,1.2716450216450198e-06,2.0874999999420665e-07
-7.453733766316084e-07,5.194805194805188e-07,2.258928571488572e-07
-9.8610930732157e-07,7.359307359307349e-07,2.5017857142872746e-07
-8.930086580205554e-07,6.222943722943713e-07,2.707142857105716e-07
-6.50822510883664e-07,3.679653679653677e-07,2.828571428539761e-07
-1.60205627702803e-06,1.2770562770562749e-06,3.250000000024067e-07
-7.833658007827538e-07,4.437229437229422e-07,3.396428571514343e-07
-1.6700216450282743e-06,1.287878787878786e-06,3.8214285714294194e-07
-1.0473322511472816e-06,6.439393939393934e-07,4.0339285713869577e-07
1.1646103897922089e-07,-5.032467532467528e-07,3.867857142902942e-07
-3.1425703462817367e-06,2.667748917748913e-06,4.748214285713037e-07
-3.7504599567639296e-06,3.1709956709956656e-06,5.794642857076537e-07
-2.435286796553804e-06,1.796536796536794e-06,6.38750000003796e-07
-3.592586579892476e-07,-2.705627705627702e-07,6.298214285729853e-07
2.198630952410241e-06,-2.7380952380952336e-06,5.394642857148302e-07
5.005643939459681e-06,-5.367965367965359e-06,3.623214285750076e-07
5.629972943677064e-06,-5.800865800865791e-06,1.7089285713617344e-07
1.2042045454130346e-06,-1.331168831168829e-06,1.2696428570990737e-07
-4.084561688322275e-06,3.831168831168824e-06,2.533928571482602e-07
-5.496650432923467e-06,5.075757575757567e-06,4.208928571364234e-07
-5.093988095228319e-06,4.523809523809517e-06,5.70178571426827e-07
-5.282402597450719e-06,4.561688311688305e-06,7.207142857235116e-07
-2.2020183982340846e-06,1.4339826839826835e-06,7.680357142908489e-07
6.126515152415912e-07,-1.336580086580083e-06,7.239285714291666e-07
-8.66883116956707e-08,-6.168831168831175e-07,7.03571428568861e-07
5.988582250648911e-07,-1.2608225108225092e-06,6.619642857128016e-07
1.2497564935709526e-06,-1.8506493506493456e-06,6.008928571457628e-07
1.41703463207854e-06,-1.9534632034632004e-06,5.364285714237749e-07
1.598885281284268e-06,-2.067099567099566e-06,4.682142857106997e-07
-7.309361471641296e-07,2.543290043290029e-07,4.76607142863017e-07
-5.93993506492474e-07,1.1363636363636393e-07,4.803571428541042e-07
-1.933712121204856e-06,1.4069264069264051e-06,5.267857142859933e-07
-1.9857305194603825e-06,1.41233766233766e-06,5.733928571463598e-07
1.5339718614226785e-06,-2.040043290043287e-06,5.060714285687329e-07
2.9327380957067106e-07,-7.738095238095204e-07,4.805357142825817e-07
-9.556709956726197e-07,4.5995670995670966e-07,4.957142857101027e-07
-5.18073593080981e-07,2.164502164502033e-08,4.964285714240124e-07
-1.5696753246641215e-06,1.0389610389610383e-06,5.307142857194358e-07
-1.2014935065196577e-06,6.493506493506472e-07,5.521428571436671e-07
-2.1109307357658483e-08,-5.140692640692646e-07,5.351785714313717e-07
1.8628571428203069e-06,-2.321428571428568e-06,4.585714285729181e-07
4.208933982674523e-06,-4.518398268398261e-06,3.09464285710992e-07
2.233906926385476e-06,-2.462121212121208e-06,2.282142857190639e-07
1.4096049782974518e-06,-1.5854978354978334e-06,1.7589285714048053e-07
3.830898268608607e-07,-5.4112554112554e-07,1.58035714285798e-07
-2.7237662337253887e-06,2.4837662337662307e-06,2.399999999985747e-07
-2.934296536749592e-06,2.6082251082251044e-06,3.260714285663324e-07
-1.1645454545683442e-06,8.116883116883107e-07,3.528571428518257e-07
-6.323484849080074e-07,2.705627705627702e-07,3.617857142895753e-07
-4.0650432903133193e-07,4.329004329004236e-08,3.632142857173948e-07
5.087987013929762e-07,-8.441558441558437e-07,3.35357142854098e-07
4.30449134225519e-07,-7.413419913419908e-07,3.108928571526892e-07
-1.1884956710450645e-06,8.495670995670975e-07,3.389285714305857e-07
-2.0158766233513425e-06,1.6233766233766211e-06,3.925000000015722e-07
-1.4654761898436064e-07,-2.380952380952372e-07,3.846428571416261e-07
-5.132088745085639e-07,1.2445887445887497e-07,3.887499999966071e-07
-2.9880194805098625e-06,2.516233766233763e-06,4.717857142871873e-07
-1.164924242402776e-06,6.709956709956701e-07,4.939285714253283e-07
4.004437228477542e-07,-8.658008658008632e-07,4.653571428550607e-07
-3.131704545411562e-06,2.581168831168828e-06,5.505357142873701e-07
-4.144794372273886e-06,3.4794372294372235e-06,6.653571428608118e-07
-5.759199134258708e-07,-8.65800865800881e-08,6.624999999982339e-07
3.244788961076494e-06,-3.782467532467526e-06,5.376785714300558e-07
5.467478355059008e-07,-1.0497835497835445e-06,5.030357142915554e-07
-5.941937229470007e-06,5.265151515151508e-06,6.767857142833678e-07
-1.1191250000042174e-05,1.0178571428571409e-05,1.012678571429837e-06
-9.945221861484832e-06,8.647186147186131e-06,1.298035714289436e-06
-4.903474025930166e-06,3.490259740259736e-06,1.4132142857059549e-06
-1.20730140692471e-05,1.0319264069264052e-05,1.7537499999928374e-06
-1.5029588744608358e-05,1.285173160173158e-05,2.1778571428626714e-06
-8.857700216413633e-06,6.4664502164502095e-06,2.3912500000042303e-06
-9.099042207749708e-06,6.493506493506485e-06,2.605535714281237e-06
-1.327651515159456e-05,1.0330086580086565e-05,2.946428571425075e-06
-1.1526812770612516e-05,8.306277056277041e-06,3.2205357142905955e-06
1.648203463266995e-06,-4.713203463203453e-06,3.0650000000034816e-06
1.0305865800863678e-05,-1.2943722943722911e-05,2.63785714285647e-06
1.778106060612572e-06,-4.274891774891772e-06,2.4967857142829675e-06
5.384902597160846e-07,-2.938311688311694e-06,2.3998214285642083e-06
9.282916666630836e-06,-1.1309523809523788e-05,2.026607142859016e-06
1.1020048701348983e-05,-1.2629870129870107e-05,1.6098214285775736e-06
9.357418831179576e-06,-1.0616883116883105e-05,1.2594642857174931e-06
1.0043165584394664e-05,-1.0941558441558423e-05,8.983928571348887e-07
1.0812294372275488e-05,-1.133658008658007e-05,5.242857142803703e-07
6.29530303031256e-06,-6.601731601731593e-06,3.064285714338144e-07
1.3928787878647595e-06,-1.6450216450216434e-06,2.521428571419793e-07
-4.254274891812848e-07,1.677489177489169e-07,2.576785714247798e-07
1.9503030302958635e-06,-2.1374458874458843e-06,1.8714285714149795e-07
2.350638528103577e-06,-2.456709956709953e-06,1.060714285780473e-07
4.808603896178099e-07,-5.681818181818173e-07,8.732142857403868e-08
-2.997348484967688e-07,2.056277056277052e-07,9.410714285618128e-08
1.909740260375159e-07,-2.7597402597402573e-07,8.500000000383202e-08
3.733658009430485e-07,-4.437229437229431e-07,7.035714285480443e-08
2.4669913445407587e-08,-9.199134199134192e-08,6.732142857068801e-08
